./testing\best_case,400,100,0,0,0,100,100,100,100,0,0,0,0,100,100,100,0,0,100,0
./testing\best_case\data_10e1.txt,3000,1100,1000,900,1000,900,1000,1000,900,1000,900,1000,900,900,1000,1000,1100,1100,1000,1100
./testing\best_case\data_10e2.txt,7400,3000,2600,2400,2400,2400,2800,2700,2300,2300,2400,2300,2500,2300,2300,2300,2700,2300,2300,2300
./testing\best_case\data_10e3.txt,67000,23300,25600,30200,30000,109300,30900,31000,32400,32400,33700,109500,32100,66400,72300,30700,32400,31900,32200,32900
./testing\best_case\data_10e4.txt,298000,177300,249800,268800,282700,255100,180200,183200,442900,280600,221900,221500,195500,196400,200500,217900,211900,213200,231600,288400
./testing\best_case\data_10e5.txt,2213200,2504600,2350900,2110500,2238100,1984500,2394200,2405900,2120100,2882300,2124400,1974300,2954800,3618000,3974500,3573900,2971100,1840300,2031300,2200400
./testing\best_case\data_10e6.txt,25667400,26061600,28401500,26339300,26078200,26351300,30332000,37656100,26299400,26159000,26039500,25841100,28238100,25835300,19827900,19675900,22455400,20065000,18457100,18916000
./testing\best_case\data_10e7.txt,227861200,225509600,247570300,230793700,215007900,229966800,216810200,213390900,215006300,227045400,216658200,206733400,215616300,215507500,220896800,209257200,205224800,206834900,208468300,204083300
./testing\best_case\data_10e8.txt,1807422400,1782602000,1827585500,1739107400,1801581400,1820713100,1769348200,1780500200,1765036700,1759214200,1860074200,1797767000,1745421300,1823554500,1741589500,1798228200,1729298900,1781703800,1770709800,1777117200
./testing\random,300,100,100,0,100,100,100,0,0,0,0,100,100,0,0,100,0,0,0,0
./testing\random\random_10e1.txt,1900,700,700,500,500,500,600,500,400,500,400,500,500,500,500,500,500,500,500,400
./testing\random\random_10e2.txt,15100,10800,8000,7400,7100,7100,8400,7100,7000,7100,7600,6800,7100,7500,7000,6900,8100,7500,7000,7000
./testing\random\random_10e3.txt,200000,71600,77900,62500,81600,65200,67800,63200,65700,66400,63200,74900,68600,68900,100100,61800,58700,60800,100200,113800
./testing\random\random_10e4.txt,669700,586100,578600,562900,602200,568300,576700,553200,631800,577000,577700,560400,787100,709600,586400,551400,589600,560800,559300,552000
./testing\random\random_10e5.txt,4815700,4474000,4556700,4706800,4434300,4974700,5080900,4307000,4679500,4363300,4622400,4236800,4651400,4734500,4291500,4296900,4495300,4586600,4213500,4475700
./testing\random\random_10e6.txt,42953000,42175100,42951400,44066200,42720600,46004800,45444900,43287000,43336100,53231900,55836300,42689300,50075100,43444600,43692000,43485400,44138100,43740200,43010900,43043800
./testing\random\random_10e7.txt,422461700,426403300,402650700,398238800,402964400,411610300,404153400,415447300,437979300,415059900,411434700,413078700,407852400,415940700,412116600,404919000,414275000,446961300,419456500,420737500
./testing\random\random_10e8.txt,3653159600,3814111900,3686341400,3648054100,3629746600,3585039000,3668888800,3592506000,3622526500,3642303200,3626599900,3707915200,3665280900,3626486300,3685036800,3640925600,3664859000,3669965200,3644411500,3622634000
./testing\random\random_v2_10e1.txt,2100,800,600,600,600,600,500,600,500,600,500,500,600,600,600,600,600,500,500,600
./testing\random\random_v2_10e2.txt,17200,9300,7800,7300,7900,7400,7300,7600,8200,7500,7200,7500,7800,7300,8200,7300,7600,7300,7000,7500
./testing\random\random_v2_10e3.txt,85000,67900,58100,58900,56700,56700,55200,56300,55200,83500,72600,54200,53500,54900,56900,56500,53700,52900,52800,57400
./testing\random\random_v2_10e4.txt,661200,620100,560200,685600,732500,658200,676800,607500,546800,591700,559900,590600,558700,569800,705800,594000,567400,568500,565300,564000
./testing\random\random_v2_10e5.txt,4516300,4359600,4704800,4503700,4433300,4767200,4809500,4369400,4363800,5148800,4377900,4427300,4922200,4495900,4441200,4336500,5153900,4388000,4493300,4665300
./testing\random\random_v2_10e6.txt,44549700,43837300,44685200,48618300,42933400,43295600,42860900,44213000,43329800,42771300,43120400,43259100,43018900,46055800,43914100,43434300,44162100,42534400,42008600,60732100
./testing\random\random_v2_10e7.txt,432389600,423418800,409414400,412153800,410961700,420430400,398250600,415468700,424735100,413776300,409254400,408225800,424926100,405171000,412500000,419531600,406197100,414651100,408565600,417172100
./testing\random\random_v2_10e8.txt,3666336600,3738058700,3681247300,3694584500,3797451100,3701369100,3601188000,3640282000,3670826400,3650715300,3588329200,3668009700,3653982100,3740666100,4494578300,3681758800,3645638500,3624319200,3614349900,3686342700
./testing\worst_case,400,100,100,0,0,0,0,0,0,0,100,0,0,100,0,100,0,0,100,100
./testing\worst_case\data_10e1.txt,1700,900,600,600,600,500,600,500,600,600,600,500,600,600,600,500,600,600,600,500
./testing\worst_case\data_10e2.txt,9300,4900,4200,4300,4200,4100,4200,4700,4100,4000,4100,3900,3800,3900,3900,4500,3900,3900,4000,4000
./testing\worst_case\data_10e3.txt,50500,43200,40100,39300,39700,39400,40700,39500,40300,39100,41200,56500,102700,53800,124200,89000,125700,164200,83300,40700
./testing\worst_case\data_10e4.txt,559100,464200,615900,384700,430400,383800,429400,386300,383500,429500,385800,429000,385000,390800,427300,398000,427600,383300,400300,393100
./testing\worst_case\data_10e5.txt,3729300,3960400,3926000,3766400,3859100,5270800,4452400,4026900,5576700,5826500,3641500,3906700,3493800,3869200,3526500,3486800,4065900,3772700,3840500,3770400
./testing\worst_case\data_10e6.txt,45139800,41834000,42055000,43142100,40783700,43164000,48546600,43316200,42399800,41996100,42752800,40557700,40865700,39507700,40539200,39918500,40004300,40736900,41167200,40832700
./testing\worst_case\data_10e7.txt,483172200,472422000,482390400,488357300,469943900,485588600,494389100,471773700,480427800,472414100,490874900,475640900,482982500,554354700,481887300,478742000,478131700,481292100,487035000,485297500
./testing\worst_case\data_10e8.txt,4354963800,4391211100,4442108200,4476643200,4427452800,4407115500,4347287500,4350257500,4348995100,4363489900,4403246400,4356473400,4379880700,4348135100,4372995300,4328950400,4421275800,4368750700,4361603600,4344169300
